2024-11-08 07:37:51,359 INFO    MainThread:3904 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-11-08 07:37:51,360 INFO    MainThread:3904 [wandb_setup.py:_flush():79] Configure stats pid to 3904
2024-11-08 07:37:51,360 INFO    MainThread:3904 [wandb_setup.py:_flush():79] Loading settings from C:\Users\azzam\.config\wandb\settings
2024-11-08 07:37:51,360 INFO    MainThread:3904 [wandb_setup.py:_flush():79] Loading settings from D:\trashnet\wandb\settings
2024-11-08 07:37:51,360 INFO    MainThread:3904 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-08 07:37:51,360 INFO    MainThread:3904 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-08 07:37:51,360 INFO    MainThread:3904 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-11-08 07:37:51,360 INFO    MainThread:3904 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-08 07:37:51,361 INFO    MainThread:3904 [wandb_init.py:_log_setup():533] Logging user logs to D:\trashnet\wandb\run-20241108_073751-6zdi89e8\logs\debug.log
2024-11-08 07:37:51,361 INFO    MainThread:3904 [wandb_init.py:_log_setup():534] Logging internal logs to D:\trashnet\wandb\run-20241108_073751-6zdi89e8\logs\debug-internal.log
2024-11-08 07:37:51,361 INFO    MainThread:3904 [wandb_init.py:init():619] calling init triggers
2024-11-08 07:37:51,361 INFO    MainThread:3904 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0005, 'epochs': 20, 'batch_size': 64, 'model': 'ResNet18', 'optimizer': 'AdamW'}
2024-11-08 07:37:51,361 INFO    MainThread:3904 [wandb_init.py:init():644] re-initializing run, found existing run on stack: 2rnqsz9z
2024-11-08 07:37:51,362 INFO    MainThread:3904 [wandb_run.py:_finish():2146] finishing run muhammad-abdlhadi-universitas-esa-unggul/trash_classification/2rnqsz9z
2024-11-08 07:37:51,362 INFO    MainThread:3904 [jupyter.py:save_history():459] not saving jupyter history
2024-11-08 07:37:51,362 INFO    MainThread:3904 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-11-08 07:37:51,362 INFO    MainThread:3904 [wandb_init.py:_jupyter_teardown():461] cleaning up jupyter logic
2024-11-08 07:37:51,362 INFO    MainThread:3904 [wandb_run.py:_atexit_cleanup():2414] got exitcode: 0
2024-11-08 07:37:51,363 INFO    MainThread:3904 [wandb_run.py:_restore():2396] restore
2024-11-08 07:37:51,363 INFO    MainThread:3904 [wandb_run.py:_restore():2402] restore done
2024-11-08 07:37:54,159 INFO    MainThread:3904 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2024-11-08 07:37:54,159 INFO    MainThread:3904 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2024-11-08 07:37:54,167 INFO    MainThread:3904 [wandb_run.py:_footer_sync_info():3922] logging synced files
2024-11-08 07:37:54,171 INFO    MainThread:3904 [wandb_init.py:init():669] starting backend
2024-11-08 07:37:54,171 INFO    MainThread:3904 [wandb_init.py:init():673] sending inform_init request
2024-11-08 07:37:54,173 INFO    MainThread:3904 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-08 07:37:54,174 INFO    MainThread:3904 [wandb_init.py:init():686] backend started and connected
2024-11-08 07:37:54,182 INFO    MainThread:3904 [wandb_run.py:_label_probe_notebook():1341] probe notebook
2024-11-08 07:37:54,188 INFO    MainThread:3904 [wandb_run.py:_label_probe_notebook():1351] Unable to probe notebook: 'charmap' codec can't decode byte 0x81 in position 1579159: character maps to <undefined>
2024-11-08 07:37:54,188 INFO    MainThread:3904 [wandb_init.py:init():781] updated telemetry
2024-11-08 07:37:54,190 INFO    MainThread:3904 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-08 07:37:54,640 INFO    MainThread:3904 [wandb_init.py:init():867] starting run threads in backend
2024-11-08 07:37:54,844 INFO    MainThread:3904 [wandb_run.py:_console_start():2451] atexit reg
2024-11-08 07:37:54,845 INFO    MainThread:3904 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2024-11-08 07:37:54,845 INFO    MainThread:3904 [wandb_run.py:_redirect():2364] Wrapping output streams.
2024-11-08 07:37:54,845 INFO    MainThread:3904 [wandb_run.py:_redirect():2389] Redirects installed.
2024-11-08 07:37:54,846 INFO    MainThread:3904 [wandb_init.py:init():911] run started, returning control to user process
2024-11-08 07:38:01,531 INFO    MainThread:3904 [wandb_run.py:_finish():2146] finishing run muhammad-abdlhadi-universitas-esa-unggul/trash-classification/6zdi89e8
2024-11-08 07:38:01,532 INFO    MainThread:3904 [wandb_run.py:_atexit_cleanup():2414] got exitcode: 0
2024-11-08 07:38:01,532 INFO    MainThread:3904 [wandb_run.py:_restore():2396] restore
2024-11-08 07:38:01,532 INFO    MainThread:3904 [wandb_run.py:_restore():2402] restore done
2024-11-08 07:38:07,286 INFO    MainThread:3904 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2024-11-08 07:38:07,286 INFO    MainThread:3904 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2024-11-08 07:38:07,296 INFO    MainThread:3904 [wandb_run.py:_footer_sync_info():3922] logging synced files
