2024-11-08 07:57:08,644 INFO    MainThread:11724 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-11-08 07:57:08,645 INFO    MainThread:11724 [wandb_setup.py:_flush():79] Configure stats pid to 11724
2024-11-08 07:57:08,645 INFO    MainThread:11724 [wandb_setup.py:_flush():79] Loading settings from C:\Users\azzam\.config\wandb\settings
2024-11-08 07:57:08,645 INFO    MainThread:11724 [wandb_setup.py:_flush():79] Loading settings from D:\trashnet\wandb\settings
2024-11-08 07:57:08,645 INFO    MainThread:11724 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-08 07:57:08,645 INFO    MainThread:11724 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-08 07:57:08,645 INFO    MainThread:11724 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-11-08 07:57:08,645 INFO    MainThread:11724 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-08 07:57:08,645 INFO    MainThread:11724 [wandb_init.py:_log_setup():533] Logging user logs to D:\trashnet\wandb\run-20241108_075708-9kirfbqp\logs\debug.log
2024-11-08 07:57:08,646 INFO    MainThread:11724 [wandb_init.py:_log_setup():534] Logging internal logs to D:\trashnet\wandb\run-20241108_075708-9kirfbqp\logs\debug-internal.log
2024-11-08 07:57:08,646 INFO    MainThread:11724 [wandb_init.py:init():619] calling init triggers
2024-11-08 07:57:08,646 INFO    MainThread:11724 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 50, 'batch_size': 64, 'model': 'ResNet18'}
2024-11-08 07:57:08,646 INFO    MainThread:11724 [wandb_init.py:init():644] re-initializing run, found existing run on stack: xfsi8gi2
2024-11-08 07:57:08,647 INFO    MainThread:11724 [wandb_run.py:_finish():2146] finishing run muhammad-abdlhadi-universitas-esa-unggul/trash_classification/xfsi8gi2
2024-11-08 07:57:08,647 INFO    MainThread:11724 [jupyter.py:save_history():459] not saving jupyter history
2024-11-08 07:57:08,647 INFO    MainThread:11724 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-11-08 07:57:08,647 INFO    MainThread:11724 [wandb_init.py:_jupyter_teardown():461] cleaning up jupyter logic
2024-11-08 07:57:08,647 INFO    MainThread:11724 [wandb_run.py:_atexit_cleanup():2414] got exitcode: 0
2024-11-08 07:57:08,648 INFO    MainThread:11724 [wandb_run.py:_restore():2396] restore
2024-11-08 07:57:08,648 INFO    MainThread:11724 [wandb_run.py:_restore():2402] restore done
2024-11-08 07:57:11,650 INFO    MainThread:11724 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2024-11-08 07:57:11,651 INFO    MainThread:11724 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2024-11-08 07:57:11,666 INFO    MainThread:11724 [wandb_run.py:_footer_sync_info():3922] logging synced files
2024-11-08 07:57:11,670 INFO    MainThread:11724 [wandb_init.py:init():669] starting backend
2024-11-08 07:57:11,670 INFO    MainThread:11724 [wandb_init.py:init():673] sending inform_init request
2024-11-08 07:57:11,672 INFO    MainThread:11724 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-08 07:57:11,673 INFO    MainThread:11724 [wandb_init.py:init():686] backend started and connected
2024-11-08 07:57:11,682 INFO    MainThread:11724 [wandb_run.py:_label_probe_notebook():1341] probe notebook
2024-11-08 07:57:11,689 INFO    MainThread:11724 [wandb_run.py:_label_probe_notebook():1351] Unable to probe notebook: 'charmap' codec can't decode byte 0x81 in position 1761246: character maps to <undefined>
2024-11-08 07:57:11,689 INFO    MainThread:11724 [wandb_init.py:init():781] updated telemetry
2024-11-08 07:57:11,690 INFO    MainThread:11724 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-08 07:57:12,376 INFO    MainThread:11724 [wandb_init.py:init():867] starting run threads in backend
2024-11-08 07:57:12,570 INFO    MainThread:11724 [wandb_run.py:_console_start():2451] atexit reg
2024-11-08 07:57:12,570 INFO    MainThread:11724 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2024-11-08 07:57:12,570 INFO    MainThread:11724 [wandb_run.py:_redirect():2364] Wrapping output streams.
2024-11-08 07:57:12,570 INFO    MainThread:11724 [wandb_run.py:_redirect():2389] Redirects installed.
2024-11-08 07:57:12,571 INFO    MainThread:11724 [wandb_init.py:init():911] run started, returning control to user process
2024-11-08 07:57:26,322 INFO    MainThread:11724 [wandb_run.py:_finish():2146] finishing run muhammad-abdlhadi-universitas-esa-unggul/trash-classification/9kirfbqp
2024-11-08 07:57:26,322 INFO    MainThread:11724 [wandb_run.py:_atexit_cleanup():2414] got exitcode: 0
2024-11-08 07:57:26,323 INFO    MainThread:11724 [wandb_run.py:_restore():2396] restore
2024-11-08 07:57:26,323 INFO    MainThread:11724 [wandb_run.py:_restore():2402] restore done
2024-11-08 07:57:34,287 INFO    MainThread:11724 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2024-11-08 07:57:34,287 INFO    MainThread:11724 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2024-11-08 07:57:34,297 INFO    MainThread:11724 [wandb_run.py:_footer_sync_info():3922] logging synced files
